postcodes,town,state,state_code,province,latitude,longitude,country_iso_alpha2,country_iso_alpha3,country_iso_numeric
84133,Salerno,Campania,CM,Salerno,40.6833,14.7833,IT,ITA,380
84134,Giovi,Campania,CM,Salerno,40.6833,14.7833,IT,ITA,380
84135,Matierno,Campania,CM,Salerno,40.6833,14.7833,IT,ITA,380
40100,Bologna,Emilia-Romagna,ER,Bologna,44.4938,11.3387,IT,ITA,380
40121,Bologna,Emilia-Romagna,ER,Bologna,44.4938,11.3387,IT,ITA,380
40122,Bologna,Emilia-Romagna,ER,Bologna,44.4944,11.3492,IT,ITA,380
40123,Bologna,Emilia-Romagna,ER,Bologna,44.4938,11.3387,IT,ITA,380
40124,Bologna,Emilia-Romagna,ER,Bologna,44.4938,11.3387,IT,ITA,380
40125,Bologna,Emilia-Romagna,ER,Bologna,44.4938,11.3387,IT,ITA,380
40126,Bologna,Emilia-Romagna,ER,Bologna,44.4938,11.3387,IT,ITA,380
40127,San Donnino,Emilia-Romagna,ER,Bologna,44.4938,11.3387,IT,ITA,380
40128,Corticella,Emilia-Romagna,ER,Bologna,44.55,11.3667,IT,ITA,380
40129,Bologna,Emilia-Romagna,ER,Bologna,44.4938,11.3387,IT,ITA,380
40131,Bologna,Emilia-Romagna,ER,Bologna,44.4938,11.3387,IT,ITA,380
40132,Bologna,Emilia-Romagna,ER,Bologna,44.4938,11.3387,IT,ITA,380
40133,Bologna,Emilia-Romagna,ER,Bologna,44.4938,11.3387,IT,ITA,380
40134,Bologna,Emilia-Romagna,ER,Bologna,44.4938,11.3387,IT,ITA,380
40135,Casaglia,Emilia-Romagna,ER,Bologna,44.4938,11.3387,IT,ITA,380
40136,Gaibola,Emilia-Romagna,ER,Bologna,44.304,11.7637,IT,ITA,380
40137,Bologna,Emilia-Romagna,ER,Bologna,44.4938,11.3387,IT,ITA,380
40138,Roveri,Emilia-Romagna,ER,Bologna,44.4938,11.3387,IT,ITA,380
40139,Bologna,Emilia-Romagna,ER,Bologna,44.4938,11.3387,IT,ITA,380
40141,San Ruffillo,Emilia-Romagna,ER,Bologna,44.45,11.3667,IT,ITA,380
47100,Ronco,Emilia-Romagna,ER,Forli,44.3072,11.9453,IT,ITA,380
44100,Ferrara,Emilia-Romagna,ER,Ferrara,44.8379,11.6204,IT,ITA,380
41100,Baggiovara,Emilia-Romagna,ER,Modena,44.6043,10.8625,IT,ITA,380
29100,Sant'Antonio,Emilia-Romagna,ER,Piacenza,45.0533,9.6483,IT,ITA,380
43100,Cortile San Martino,Emilia-Romagna,ER,Parma,44.7816,10.3292,IT,ITA,380
43126,Parma,Emilia-Romagna,ER,Parma,44.815,10.308,IT,ITA,380
48100,San Bartolo,Emilia-Romagna,ER,Ravenna,44.3611,11.8217,IT,ITA,380
42100,Coviolo,Emilia-Romagna,ER,Reggio Nell'Emilia,44.6802,10.5913,IT,ITA,380
34170,Gorizia,Friuli-Venezia Giulia,FV,Gorizia,45.9413,13.6215,IT,ITA,380
33170,Pordenone,Friuli-Venezia Giulia,FV,Pordenone,45.9627,12.655,IT,ITA,380
34100,Trieste,Friuli-Venezia Giulia,FV,Trieste,45.6486,13.78,IT,ITA,380
34121,Trieste,Friuli-Venezia Giulia,FV,Trieste,45.6486,13.78,IT,ITA,380
34122,Trieste,Friuli-Venezia Giulia,FV,Trieste,45.6486,13.78,IT,ITA,380
34123,Trieste,Friuli-Venezia Giulia,FV,Trieste,45.6486,13.78,IT,ITA,380
